date,weather,wendu,
2015-06-02,中雨 /阴,23℃ / 18℃,
2015-06-03,多云 /晴,26℃ / 14℃,
2015-06-04,多云 /多云,27℃ / 16℃,
2015-06-05,晴 /晴,30℃ / 20℃,
2015-06-06,多云 /多云,32℃ / 20℃,
2015-06-07,多云 /阴,28℃ / 18℃,
2015-06-08,阴 /阴,27℃ / 18℃,
2015-06-09,阴 /阴,27℃ / 18℃,
2015-06-10,阴 /阴,28℃ / 18℃,
2015-06-11,阴 /阴,32℃ / 20℃,
2015-06-12,阴 /晴,30℃ / 17℃,
2015-06-13,多云 /多云,38℃ / 16℃,
2015-06-14,阴 /多云,38℃ / 16℃,
2015-06-15,多云 /阴,34℃ / 19℃,
2015-06-16,多云 /阴,33℃ / 20℃,
2015-06-17,阴 /阴,31℃ / 18℃,
2015-06-18,阴 /多云,32℃ / 15℃,
2015-06-19,晴 /小雨,32℃ / 20℃,
2015-06-20,阴 /阴,33℃ / 19℃,
2015-06-21,阴 /多云,30℃ / 20℃,
2015-06-22,阴 /晴,33℃ / 18℃,
2015-06-23,多云 /中雨,31℃ / 20℃,
2015-06-24,小雨 /多云,30℃ / 24℃,
2015-06-25,中雨 /中雨,35℃ / 24℃,
2015-06-26,阴 /阴,30℃ / 21℃,
2015-06-27,小雨 /小雨,29℃ / 21℃,
2015-06-28,小雨 /大雨,28℃ / 21℃,
2015-06-29,小雨 /小雨,24℃ / 20℃,
2015-06-30,小雨 /中雨,36℃ / 15℃,
2015-07-01,多云 /阴,31℃ / 19℃,
2015-07-02,多云 /多云,30℃ / 20℃,
2015-07-03,阴 /阴,32℃ / 17℃,
2015-07-04,多云 /阴,28℃ / 22℃,
2015-07-05,阴 /阴,32℃ / 19℃,
2015-07-06,阴 /晴,28℃ / 17℃,
2015-07-07,小雨 /多云,28℃ / 17℃,
2015-07-08,阴 /多云,28℃ / 20℃,
2015-07-09,多云 /晴,29℃ / 16℃,
2015-07-10,晴 /小雨,29℃ / 20℃,
2015-07-11,阴 /中雨,31℃ / 23℃,
2015-07-12,大雨 /小雨,27℃ / 23℃,
2015-07-13,中雨 /小雨,25℃ / 18℃,
2015-07-14,晴 /大雨,32℃ / 24℃,
2015-07-15,晴 /小雨,28℃ / 24℃,
2015-07-16,小雨 /小雨,26℃ / 21℃,
2015-07-17,多云 /晴,29℃ / 22℃,
2015-07-18,晴 /晴,32℃ / 17℃,
2015-07-19,多云 /多云,31℃ / 24℃,
2015-07-20,小雨 /中雨,32℃ / 27℃,
2015-07-21,- /小雨,/ 21℃,
2015-07-22,多云 /小雨,31℃ / 23℃,
2015-07-23,阴 /中雨,30℃ / 22℃,
2015-07-24,小雨 /晴,28℃ / 23℃,
2015-07-25,小雨 /多云,30℃ / 26℃,
2015-07-26,小雨 /小雨,31℃ / 24℃,
2015-07-27,晴 /晴,34℃ / 26℃,
2015-07-28,多云 /多云,30℃ / 23℃,
2015-07-29,- /晴,/ 25℃,
2015-07-30,晴 /晴,35℃ / 26℃,
2015-07-31,晴 /阴,33℃ / 24℃,
2015-08-01,阴 /晴,35℃ / 25℃,
2015-08-02,阴 /晴,36℃ / 25℃,
2015-08-03,多云 /晴,36℃ / 26℃,
2015-08-04,多云 /晴,35℃ / 24℃,
2015-08-05,阴 /晴,35℃ / 24℃,
2015-08-06,小雨 /晴,35℃ / 24℃,
2015-08-07,小雨 /晴,30℃ / 23℃,
2015-08-08,小雨 /晴,29℃ / 24℃,
2015-08-09,小雨 /中雨,28℃ / 26℃,
2015-08-10,中雨 /暴雨,28℃ / 25℃,
2015-08-11,小雨 /暴雨,33℃ / 25℃,
2015-08-12,小雨 /多云,27℃ / 23℃,
2015-08-13,阴 /多云,30℃ / 22℃,
2015-08-14,小雨 /晴,30℃ / 21℃,
2015-08-15,小雨 /晴,32℃ / 22℃,
2015-08-16,小雨 /多云,30℃ / 19℃,
2015-08-17,多云 /小雨,31℃ / 20℃,
2015-08-18,阴 /小雨,27℃ / 24℃,
2015-08-19,小雨 /中雨,29℃ / 24℃,
2015-08-20,小雨 /中雨,30℃ / 22℃,
2015-08-21,小雨 /中雨,27℃ / 23℃,
2015-08-22,小雨 /多云,29℃ / 20℃,
2015-08-23,多云 /小雨,28℃ / 21℃,
2015-08-24,晴 /小雨,28℃ / 22℃,
2015-08-25,多云 /多云,29℃ / 22℃,
2015-08-26,小雨 /多云,27℃ / 22℃,
2015-08-27,小雨 /小雨,28℃ / 17℃,
2015-08-28,多云 /晴,29℃ / 19℃,
2015-08-29,多云 /晴,29℃ / 21℃,
2015-08-30,小雨 /小雨,27℃ / 18℃,
2015-08-31,晴 /多云,29℃ / 23℃,
2015-09-01,小雨 /晴,29℃ / 19℃,
2015-09-02,小雨 /晴,30℃ / 19℃,
2015-09-03,多云 /小雨,30℃ / 19℃,
2015-09-04,多云 /暴雨,30℃ / 22℃,
2015-09-05,小雨 /小雨,25℃ / 20℃,
2015-09-06,小雨 /小雨,28℃ / 20℃,
2015-09-07,小雨 /晴,27℃ / 19℃,
2015-09-08,多云 /小雨,28℃ / 21℃,
2015-09-09,多云 /多云,28℃ / 18℃,
2015-09-10,多云 /阴,28℃ / 20℃,
2015-09-11,多云 /小雨,26℃ / 18℃,
2015-09-12,多云 /多云,27℃ / 19℃,
2015-09-13,多云 /多云,28℃ / 14℃,
2015-09-14,晴 /阴,26℃ / 19℃,
2015-09-15,阴 /小雨,26℃ / 18℃,
2015-09-16,阴 /晴,27℃ / 18℃,
2015-09-17,多云 /多云,27℃ / 19℃,
2015-09-18,多云 /多云,28℃ / 19℃,
2015-09-19,晴 /晴,27℃ / 17℃,
2015-09-20,多云 /晴,27℃ / 17℃,
2015-09-21,阴 /晴,28℃ / 16℃,
2015-09-22,多云 /小雨,28℃ / 18℃,
2015-09-23,阴 /阵雨,29℃ / 19℃,
2015-09-24,中雨 /小雨,24℃ / 16℃,
2015-09-25,- /阴,/ 22℃,
2015-09-26,阴 /多云,26℃ / 20℃,
2015-09-27,阴 /多云,26℃ / 16℃,
2015-09-28,多云 /晴,28℃ / 18℃,
2015-09-29,阴 /晴,27℃ / 17℃,
2015-09-30,晴 /小雨,26℃ / 16℃,
2015-10-01,多云 /小雨,26℃ / 16℃,
2015-10-02,多云 /阴,24℃ / 10℃,
2015-10-03,晴 /多云,26℃ / 14℃,
2015-10-04,多云 /阴,22℃ / 15℃,
2015-10-05,阴 /阴,26℃ / 15℃,
2015-10-06,多云 /多云,25℃ / 18℃,
2015-10-07,阴 /多云,26℃ / 16℃,
2015-10-08,小雨 /小雨,24℃ / 16℃,
2015-10-09,多云 /晴,22℃ / 7℃,
2015-10-10,晴 /晴,22℃ / 9℃,
2015-10-11,晴 /晴,20℃ / 10℃,
2015-10-12,晴 /晴,25℃ / 14℃,
2015-10-13,阴 /晴,23℃ / 10℃,
2015-10-14,晴 /多云,25℃ / 10℃,
2015-10-15,多云 /晴,26℃ / 14℃,
2015-10-16,晴 /晴,26℃ / 12℃,
2015-10-17,多云 /多云,26℃ / 14℃,
2015-10-18,多云 /多云,26℃ / 14℃,
2015-10-19,晴 /晴,25℃ / 13℃,
2015-10-20,多云 /晴,24℃ / 13℃,
2015-10-21,晴 /多云,23℃ / 17℃,
2015-10-22,阴 /多云,24℃ / 16℃,
2015-10-23,多云 /晴,22℃ / 15℃,
2015-10-24,多云 /多云,24℃ / 19℃,
2015-10-25,晴 /晴,25℃ / 13℃,
2015-10-26,小雨 /晴,26℃ / 14℃,
2015-10-27,小雨 /晴,22℃ / 13℃,
2015-10-28,多云 /晴,29℃ / 19℃,
2015-10-29,/多云,/ 5℃,
2015-10-30,多云 /晴,16℃ / 6℃,
2015-10-31,多云 /多云,18℃ / 5℃,
